round home_team away_team home_score away_score
1 15 29 122 115
1 27 7 126 116
1 8 18 95 115
1 25 20 113 114
1 9 30 125 129
1 17 14 126 106
1 5 3 116 110
1 19 22 93 113
1 10 26 130 104
1 16 2 91 103
1 23 12 100 112
1 1 13 98 121
1 11 7 133 96
1 15 6 124 133
1 18 22 118 111
1 27 4 134 145
1 8 14 131 126
1 29 28 118 126
1 24 26 122 106
1 3 2 113 115
1 9 21 107 113
1 11 5 117 114
1 15 16 125 91
1 17 12 126 119
1 27 19 119 115
1 10 20 97 94
1 8 30 123 126
1 7 23 125 130
1 6 22 103 108
1 14 24 107 96
1 3 1 122 114
1 25 28 105 102
1 13 4 123 88
1 18 29 128 102
1 17 21 105 121
1 20 16 116 95
1 11 23 144 137
1 18 12 130 132
1 19 9 81 127
1 29 5 97 111
1 10 8 105 114
1 24 28 129 89
1 26 15 132 122
1 25 30 112 97
1 14 27 125 109
1 4 1 102 134
1 2 3 104 96
1 10 17 104 93
1 13 6 132 119
1 12 7 135 131
1 22 11 108 116
1 16 9 113 116
1 18 19 115 119
1 21 23 133 100
1 27 20 120 105
1 29 30 128 112
1 14 8 120 108
1 24 5 127 121
1 25 15 115 99
1 26 6 123 119
1 4 20 115 98
1 12 3 105 99
1 10 28 117 114
1 26 5 116 128
1 14 17 89 118
1 30 22 105 120
1 16 11 98 102
1 18 19 134 93
1 21 4 141 106
1 27 23 128 120
1 7 9 123 117
1 29 2 99 121
1 24 6 123 112
1 25 8 128 109
1 13 15 128 108
1 12 3 108 103
1 1 10 124 115
1 20 30 122 103
1 26 17 108 114
1 14 5 115 146
1 9 19 136 130
1 29 6 91 120
1 1 23 132 119
1 16 4 122 105
1 28 27 89 123
1 25 2 116 129
1 11 8 111 116
1 13 21 101 103
1 12 18 119 103
1 22 14 118 106
1 30 28 104 112
1 3 7 101 120
1 19 23 112 99
1 8 5 119 129
1 24 17 108 106
1 26 2 95 113
1 4 22 104 111
1 9 27 122 96
1 16 10 112 86
1 20 7 128 113
1 11 1 121 114
1 29 15 103 140
1 25 6 111 122
1 26 21 105 121
1 23 30 114 119
1 3 28 86 116
1 12 14 119 120
1 20 13 113 126
1 8 17 127 117
1 24 2 102 132
1 6 27 124 116
1 22 7 92 101
1 30 12 109 162
1 16 1 122 112
1 5 14 119 117
1 21 15 125 104
1 29 11 110 121
1 26 25 128 107
1 9 6 133 122
1 3 13 100 132
1 28 4 108 97
1 17 20 107 116
1 18 24 124 109
1 19 10 95 111
1 8 29 129 93
1 22 26 121 91
1 30 3 112 115
1 23 16 95 118
1 5 7 119 120
1 15 14 127 134
1 21 12 132 111
1 27 2 111 121
1 6 13 127 122
1 20 25 110 93
1 17 1 124 145
1 18 9 123 104
1 19 4 98 94
1 27 10 106 148
1 23 28 109 127
1 24 11 109 148
1 4 29 110 106
1 12 26 111 109
1 22 13 87 96
1 30 16 94 120
1 15 2 103 117
1 21 5 145 117
1 7 3 109 113
1 14 11 104 98
1 1 25 113 127
1 20 23 105 91
1 17 24 133 123
1 27 22 105 116
1 5 28 137 118
1 15 10 125 134
1 8 18 139 140
1 6 20 124 105
1 12 4 119 105
1 30 26 116 111
1 2 16 103 124
1 11 29 143 105
1 7 1 120 118
1 8 27 106 113
1 21 9 119 103
1 13 19 114 98
1 30 22 97 109
1 23 17 113 126
1 3 18 90 105
1 16 15 108 110
1 28 25 103 112
1 14 10 116 123
1 4 26 102 125
1 12 29 140 112
1 2 24 123 103
1 28 9 105 117
1 5 25 118 113
1 11 21 125 111
1 27 6 113 114
1 10 8 118 104
1 14 19 124 108
1 13 7 114 91
1 1 20 105 121
1 9 15 103 109
1 23 18 109 114
1 16 17 115 121
1 13 7 135 104
1 4 5 117 131
1 3 28 109 120
1 21 14 99 126
1 1 29 147 134
1 2 30 124 90
1 6 26 113 120
1 25 27 120 109
1 20 24 112 98
1 8 12 120 125
1 19 17 107 111
1 10 11 96 106
1 9 26 117 127
1 16 23 117 105
1 4 15 100 124
1 6 5 135 113
1 12 30 104 98
1 22 1 119 112
1 3 19 119 114
1 20 2 117 119
1 17 18 110 103
1 21 14 136 120
1 24 10 95 133
1 13 27 122 117
1 22 2 96 76
1 30 23 103 122
1 28 4 126 96
1 7 14 97 112
1 5 16 119 111
1 29 25 133 126
1 10 27 111 114
1 24 21 112 125
1 26 8 116 124
1 13 11 134 117
1 9 20 115 106
1 12 6 114 112
1 3 1 109 133
1 17 19 136 111
1 15 18 125 141
1 9 17 119 125
1 12 22 115 129
1 23 1 110 124
1 2 4 130 94
1 20 6 102 108
1 5 30 119 89
1 19 16 104 153
1 7 28 124 102
1 18 3 117 91
1 8 15 117 109
1 29 21 111 145
1 24 27 117 98
1 25 10 86 103
1 26 13 100 101
1 14 11 140 109
1 1 22 117 105
1 2 4 93 86
1 3 20 105 113
1 6 12 118 126
1 16 30 118 119
1 23 5 102 122
1 17 9 140 133
1 11 8 111 126
1 15 7 132 97
1 18 29 116 105
1 19 21 100 115
1 27 28 125 118
1 10 13 119 124
1 25 14 109 81
1 26 24 109 98
